id,Location,Type,Count
HBab23,Bambasi,6,6
HBab24,Bambasi,6,6
HBab25,Bambasi,6,6
HBab47,Bambasi,6,6
HBab48,Bambasi,6,6
HBab49,Bambasi,6,6
HBab50,Bambasi,6,6
HBab64,Bambasi,6,6
HBab66,Bambasi,6,6
HBab68,Bambasi,6,6
HBab92,Bambasi,6,6
HAss51,Asosa,6,6
HBab7,Bambasi,6,0
HBab75,Bambasi,6,6
HBab80,Bambasi,6,6
HBab81,Bambasi,6,6
HShr35,Sherkole,6,6
LBab37,Bambasi,6,6
LBab56,Bambasi,6,6
LBab57,Bambasi,6,6
LBab67,Bambasi,6,6
LBab82,Bambasi,6,6
HBab9,Bambasi,6,6
HBab21,Bambasi,6,6
HBab37,Bambasi,6,6
LBab1,Bambasi,6,6
LBab30,Bambasi,6,6
HBab13,Bambasi,6,6
HBab15,Bambasi,6,6
HBab17,Bambasi,6,6
HBab79,Bambasi,6,6
HBab95,Bambasi,6,6
HBab100,Bambasi,6,6
HBab118,Bambasi,6,6
LBab98,Bambasi,6,6
HKum9,Kurmuk,6,0
HAss14,Asosa,7,6
HAss42,Asosa,7,6
HKum11,Kurmuk,7,6
HShr118,Sherkole,7,6
HShr122,Sherkole,7,6
HShr17,Sherkole,7,6
HShr49,Sherkole,7,6
HShr70,Sherkole,7,6
HShr80,Sherkole,7,6
HShr82,Sherkole,7,6
HKum47,Kurmuk,7,6
HShr86,Sherkole,7,6
HShr98,Sherkole,7,6
LKum28,Kurmuk,7,6
LKum61,Kurmuk,7,6
LKum74,Kurmuk,7,6
LShr108,Sherkole,7,6
LShr112,Sherkole,7,6
LShr116,Sherkole,7,6
LShr132,Sherkole,7,6
LShr133,Sherkole,7,6
LShr157,Sherkole,7,6
LShr165,Sherkole,7,6
LShr171,Sherkole,7,6
LShr177,Sherkole,7,6
LShr44,Sherkole,7,6
LShr64,Sherkole,7,6
LShr86,Sherkole,7,6
HAss35,Asosa,7,0
HKum57,Kurmuk,7,6
HKum67,Kurmuk,7,6
HShr105,Sherkole,7,6
HShr12,Sherkole,7,6
HShr133,Sherkole,7,6
HShr3,Sherkole,7,6
HShr44,Sherkole,7,6
HShr48,Sherkole,7,6
HShr64,Sherkole,7,6
HShr87,Sherkole,7,6
LKum58,Kurmuk,7,6
LShr61,Sherkole,7,0
LShr73,Sherkole,7,6
HAss23,Asosa,7,6
HAss39,Asosa,7,6
HKum19,Kurmuk,7,6
HKum34,Kurmuk,7,6
HShr114,Sherkole,7,6
HShr126,Sherkole,7,6
HShr14,Sherkole,7,6
HShr146,Sherkole,7,6
HShr148,Sherkole,7,6
HShr161,Sherkole,7,6
HShr182,Sherkole,7,6
HShr31,Sherkole,7,6
HShr45,Sherkole,7,6
HShr65,Sherkole,7,6
HShr71,Sherkole,7,0
HShr77,Sherkole,7,6
HShr88,Sherkole,7,6
HShr96,Sherkole,7,6
LAss15,Asosa,7,6
LKum12,Kurmuk,7,6
LKum17,Kurmuk,7,6
LShr3,Sherkole,7,0
LShr5,Sherkole,7,6
HBab18,Bambasi,7,6
HBab23,Bambasi,7,6
HBab24,Bambasi,7,6
